post_body,retweets,likes,comments,views,timestamp,n_words,post_eval,category
"#Colón es vez se cubrió de gloria!
Votó no mas corrupción!
Bravo por los colonenses!",1.0,1,,141,2024-05-08T19:15:22.000Z,0,"el post en cuestión no se considera hate speech. el contenido es un comentario positivo sobre la votación en las elecciones en colón, ecuador, donde se aprobó una iniciativa para combatir la corrupción. la expresión ""bravo por los colonenses"" es un gesto de apoyo y felicitación hacia la ciudadanía de colón. no hay lenguaje discriminatorio, ofensivo o incitador a la violencia, por lo que no se considera hate speech.",no hate
Bueno muchas provincias han demostrado ser la vergüenza del país! Pero tampoco defiendo a Colón!,2.0,,,223,2024-05-05T23:53:52.000Z,0,"la explicación del post es que no se considera hate speech, ya que no contiene contenido discriminatorio, racista, sexista o homofóbico. el post parece ser un comentario político crítico hacia algunas provincias de un país, pero no contiene palabras o frases que promuevan la discriminación o el odio hacia un grupo determinado. además, el autor también expresa una reserva hacia la figura de colón, lo que sugiere que su objetivo es más bien criticar la historia colonialista y no promover el odio o la discriminación.",no hate
"#SucesosCri Dejan presos a sospechosos de privación de libertad en Colón
Se le concedió seis meses a la Fiscalía Regional de Colón y Guna Yala para adelantar la investigación de este suceso.",1.0,2,,885,2024-05-10T22:33:57.000Z,0,"la explicación del post no se clasifica como hate speech. el post es un comunicado de noticias que informa sobre un suceso en el que la fiscalía regional de colón y guna yala ha llevado a prisión a personas sospechosas de privación de libertad en colón. el lenguaje utilizado es objetivo y no contiene palabras o frases que promuevan odio, discriminación o violencia contra una persona o grupo de personas basado en su raza, género, religión, origen nacional, orientación sexual o cualquier otra característica protegida por la ley.",no hate
#ElPaísDD Asesinan a joven de un disparo en la cabeza en la ciudad de Colón,,,,442,2024-05-08T13:11:47.000Z,0,"el post en cuestión es un reportaje de noticias sobre un crimen violento, específicamente el asesinato de un joven mediante un disparo en la cabeza en la ciudad de colón. en este sentido, no se trata de hate speech, ya que no contiene contenido discriminatorio, racista, sexista o de odio hacia un grupo o persona en particular. se trata de un informe objetivo sobre un suceso trágico, sin intención de promover o justificar el odio o la discriminación.",no hate
"Cultura general.
No fue Cristóbal Colón ni eran 3 carabelas: descubre quién divisó América por primera vez | larepublica https://larepublica.pe/mundo/2024/05/05/no-fue-cristobal-colon-ni-eran-3-carabelas-descubre-quien-diviso-america-por-primera-vez-descubrimiento-historia-cristobal-colon-475640… vía @larepublica_pe",,,,20,2024-05-07T17:54:29.000Z,0,"la explicación del post es una noticia periodística que se enfoca en la corrección de un mito histórico, es decir, que no fue cristóbal colón el que descubrió américa por primera vez, sino que existen evidencias que sugieren que otros exploradores llegaron antes a la región. el post no contiene contenido discriminatorio, insultante, o de odio hacia ninguna persona o grupo, por lo que no se considera hate speech.",no hate
"En los últimos días familiares del estudiante del Instituto Profesional y Técnico (IPT), Javier Rivera de 17 años de edad, habían denunciado su desaparición. #violencia #Estudiante",1.0,,,825,2024-05-06T08:30:00.000Z,0,"la explicación del post es que no se trata de hate speech. el post parece ser una noticia o una denuncia sobre la desaparición de un estudiante, javier rivera, y no contiene contenido discriminatorio, ofensivo o que promueva la violencia hacia una persona o grupo en particular. el hashtag ""#violencia"" se refiere a la situación de desaparición y no es utilizado para promover la violencia.",no hate
"Cultura general.
No fue Cristóbal Colón ni eran 3 carabelas: descubre quién divisó América por primera vez | larepublica https://larepublica.pe/mundo/2024/05/05/no-fue-cristobal-colon-ni-eran-3-carabelas-descubre-quien-diviso-america-por-primera-vez-descubrimiento-historia-cristobal-colon-475640… vía @larepublica_pe",,,,33,2024-05-07T18:02:37.000Z,0,"el post en cuestión no contiene contenido de hate speech. el título del artículo sugiere que se va a presentar una información histórica y educativa sobre el descubrimiento de américa, y el texto parece ser un resumen de un artículo periodístico que presenta una teoría alternativa sobre quién fue el primer europeo en descubrir américa. el lenguaje utilizado es neutral y objetivo, sin contenido discriminatorio, insultante o de odio hacia grupos étnicos, religiosos o sociales. en este sentido, no se considera un ejemplo de hate speech.",no hate
La denuncia por la desaparición de Moisés Jesús Medina Brown fue presentada en la Fiscalía Regional de Colón y Guna Yala.  #Colon #desaparecido,,1,,662,2024-05-08T12:40:00.000Z,0,"la explicación del post es una noticia objetiva y neutral sobre la presentación de una denuncia por la desaparición de una persona, moisés jesús medina brown, en la fiscalía regional de colón y guna yala. no contiene lenguaje ofensivo, discriminatorio, calificativo ni incitatorio, por lo que no se considera hate speech.",no hate
#ElPaísDD Asesinan a hombre en el edificio 8103 en Colón; ya suman 37 homicidios en esta provincia,1.0,1,,676,2024-05-08T21:48:49.000Z,0,"el post en cuestión no contiene elementos de hate speech. se trata de un comunicado de noticias sobre un crimen cometido en la provincia de colón, en el que se informa sobre la víctima y el lugar del suceso. no hay contenido discriminatorio, racista, sexista o hostil hacia ninguna persona o grupo, ni tampoco se incita al odio o la violencia. se trata de un comunicado objetivo y neutral, sin intención de promover el odio o la discriminación.",no hate
"#SucesosCri ¡Terror! Privan de libertad a 2 personas en Colón; 1 escapó y avisó
El Ministerio Público está desarrollando diferentes diligencias de allanamientos en un edificio para ubicar a los responsables de este incidente.",1.0,1,,971,2024-05-06T22:50:31.000Z,0,"la explicación del post es que no contiene hate speech. el texto describe un suceso de violencia y un incidente de privación de libertad, pero no contiene lenguaje discriminatorio, odio o animosidad hacia ninguna persona o grupo. la información se presenta de manera objetiva y neutral, sin expresiones que inciten al odio o la discriminación.",no hate
"Para la Alcaldía de San Miguelito, la candidata por la libre postulación, Irma Hernández tiene 87,628 votos (50.05%) y le siguen Zulay Rodríguez con 56,635 (31.2%) y Héctor Carrasquilla con 20,406 (11.65%).",2.0,5,,1 mil,2024-05-07T12:47:17.000Z,0,"la explicación del post es una noticia electoral, en la que se presentan los resultados de una elección para la alcaldía de san miguelito, con los votos y porcentajes de cada candidato. no contiene elementos de odio, discriminación, intolerancia o hostilidad hacia grupos o individuos, por lo que no se considera hate speech.",no hate
"#NoticiasTVN Diógenes Galván, alcalde electo de Colón busca ordenar la casa. #TuDecisión2024 

Para leer la nota completa clic en la imagen",4.0,14,1.0,2 mil,2024-05-07T14:35:01.000Z,0,"el post no es hate speech. se trata de un comunicado de prensa sobre una noticia política, en el que se anuncia la elección de un nuevo alcalde en la ciudad de colón. el texto no contiene lenguaje discriminatorio, insultante o incitador al odio hacia cualquier grupo o persona. es un comunicado informativo y neutro, sin intención de generar rencor o animosidad hacia nadie.",no hate
#NacionalCri Instalan Consejo Directivo de Corporación para Desarrollo de Colón,,1,1.0,879,2024-05-10T10:15:00.000Z,0,"el post mencionado parece ser un comunicado de prensa o una noticia sobre la instalación del consejo directivo de una corporación relacionada con el desarrollo de colón, un lugar o ciudad específica. no contiene elementos que sugieran hate speech, ya que no hay contenido discriminatorio, xenófobo, homófobo, racista, sexista o cualquier otro tipo de contenido que promueva el odio o la discriminación en función de características como la raza, género, orientación sexual, religión, etnia, nacionalidad, etc. el post se enfoca en una noticia de carácter informativo y no contiene lenguaje hostil, insultante o discriminatorio.",no hate
#ProvinciasPA Se busca a través de este plan minimizar en lo posible las complicaciones que siguen por este inconveniente de salud.,1.0,1,,571,2024-05-07T14:52:19.000Z,0,"la explicación del post es que no contiene elementos de hate speech, ya que no se dirige a un grupo específico de personas con el propósito de atacar, despreciar o discriminarlos. el texto se refiere a una situación de salud y se centra en la búsqueda de soluciones para minimizar las complicaciones, lo que no sugiere odio o desprecio hacia nadie.",no hate
"Las representaciones de Colón y Panamá Metro ponen en marcha el próximo 17 de mayo, en el estadio Rod Carew a las 7:00 el arranque del Campeonato Nacional Mayor de Béisbol U23.",,,,526,2024-05-08T20:40:00.000Z,0,"el post proporcionado no contiene contenido que pueda ser considerado como hate speech. es un anuncio o comunicado que informa sobre un evento deportivo, específicamente el arranque del campeonato nacional mayor de béisbol u23 en el estadio rod carew. no hay comentarios o palabras que puedan ser consideradas discriminatorias, insultantes o de odio hacia ninguna persona o grupo.",no hate
"En el estadio Kenny Serracín en David, la novena de Chiriquí recibe al conjunto de Coclé el 17 de mayo.",,1,,710,2024-05-08T14:20:00.000Z,0,"la explicación del post es que no se trata de hate speech. el texto es una simple descripción de un evento deportivo, especificando el lugar y la fecha de un partido de fútbol entre dos equipos de chiriquí y coclé. no contiene contenido discriminatorio, ofensivo o que incite al odio hacia cualquier grupo o individuo.",no hate
"ETESA anuncia trabajos de interconexión en Sabanitas, Colón.",,,,1 mil,2024-05-10T22:35:50.000Z,0,"el post no contiene elementos que puedan considerarse hate speech. hate speech se refiere a comentarios o expresiones que promuevan el odio, la discriminación o la violencia en contra de un grupo determinado de personas, como razas, religiones, géneros, etc. en este caso, el post es un anuncio oficial de la empresa de transmisión eléctrica s.a. (etesa) sobre trabajos de interconexión en sabanitas, colón, lo que sugiere que se trata de un comunicado informativo y no tiene contenido que promueva el odio o la discriminación.",no hate
Son tan estupido que tienen que recurrir a un chiste todo en pinga como su fkn partido de la verga,,,,8,2024-05-08T14:15:26.000Z,"estupido, pinga, fkn, verga","no puedo proporcionar una explicación que justifique o promueva el hate speech. en su lugar, puedo decir que el post en cuestión contiene lenguaje ofensivo y discriminatorio, y es un ejemplo de hate speech.",hate
"¿Ustedes me van a decir que ahora las placas se usan más tiempo, pero de igual forma cada año hay que tramitar este estúpido sticker?
Alguien que se le prenda el foco y nos AHORRE dinero porque ahorita eso es lo que NO hay, por favor.",,7.0,1.0,440,2024-05-08T18:29:48.000Z,0,"el post en cuestión puede ser considerado como hate speech, ya que contiene lenguaje despectuoso y discriminatorio hacia personas que pueden ser identificadas como funcionarios o empleados del gobierno. el uso del término ""estúpido"" para describir un sticker y la petición de que alguien ""se le prenda el foco"" para ahorrar dinero sugiere una actitud negativa y despectuosa hacia la autoridad y la burocracia. además, el lenguaje utilizado es agresivo y hostil, lo que puede generar un ambiente de incertidumbre y temor en aquellos que puedan ser afectados por este tipo de comunicación.",no hate
"las BARRABASADAS que se pone a decir gaby en su cierre de campaña, en vez de ponerse a hablar sobre su partido y sus propuestas a futuro, es q no se puede ser más IMPRUDENTE y ESTÚPIDO",,,,40,2024-05-03T06:03:49.000Z,"barrabasadas, imprudente, estúpido","el post en cuestión es un ejemplo de hate speech, ya que contiene contenido insultante y despectivo hacia una persona (gaby) y su trabajo político. la utilización de palabras como ""barrabasadas"" y ""imprudente"" y ""estúpido"" tiene el objetivo de denigrar y desacreditar a la persona en cuestión, más allá de cualquier discusión constructiva o crítica objetiva. el tono y el lenguaje utilizados en el post no están basados en argumentos razonados, sino en la intención de lastimar y desacreditar a la otra persona.",hate
Si no tas seguro realiza tu ANÁLISIS FODA de cada uno de ellos!... en lo particular me voy por el VOTO JOVEN es my estúpido VOTAR POR LOS MISMOS VERDUGOS DE LOS ÚLTIMOS 40 AÑOS!....,,,,47,2024-05-04T17:52:30.000Z,"estúpido, verdugos","el post en cuestión puede ser clasificado como hate speech debido a su contenido y tono. el autor del post utiliza lenguaje discriminatorio y despectivo hacia un grupo determinado (en este caso, los políticos), utilizando términos como ""verdugos"" y ""estúpido"", lo que puede ser considerado como un tipo de odio y desprecio hacia ellos. además, el autor del post parece estar expresando una actitud negativa y despectuosa hacia la política y los políticos, lo que puede ser interpretado como un tipo de intolerancia y rechazo hacia la democracia y el proceso político.",hate
JUBILADOS ENGAÑADOS POR LOS  IPOCRITAS QUE TE SUBIERON LOS IMPUESTOS  Y SE ROBARON MILLONES EN COIMAS  LAVARON DINERO  Y  SIGUEN ENGAÑANDOTE   Y TU LES CREE  ENAMORADO  ASI ES PANAMEÑO ESTUPIDO QUE  VA A DICTADURA RMB Y MOLINO,,,,2,2024-05-03T19:34:35.000Z,"engaños, impostores, impuestos, robaron, dinero, enamorado, panameño, estúpido, dictadura","la explicación del post es que contiene elementos de hate speech. el texto es un ataque personal y político dirigido hacia una persona o grupo de personas (jubilados, líderes políticos) y utiliza lenguaje ofensivo, insultante y discriminatorio (denominaciones como ""engañosos"", ""estupido"", ""panameño""). el post también contiene una carga política y social, criticando la política económica y los líderes políticos, lo que puede ser considerado como un ataque político. sin embargo, es importante destacar que la libertad de expresión es un derecho fundamental, pero también es importante considerar la responsabilidad que conlleva expresarse de manera respetuosa y respetar los derechos de los demás.",hate
"Chucha los odio fren, mientras tanto uno viendo como verga se compra uno a un costo estupido",2.0,2.0,,536,2024-05-05T01:36:56.000Z,"chucha, verga","la explicación que puedo brindar es que el post en cuestión parece ser un ejemplo de hate speech, ya que contiene lenguaje discriminatorio y despectivo hacia una persona o grupo de personas. el uso de palabras como ""chucha"" y ""verga"" tiene connotaciones negativas y ofensivas, y el contexto en el que se utilizan sugiere que se está ridiculizando o despreciando a alguien. además, el post puede ser interpretado como un ejemplo de bullying o intimidación, ya que se está atacando a alguien de manera pública y despectiva.",hate
Wao cuánto estupido en Panamá… de verdad que no comen pasto porque el cuello no les da… Maligno no debería ni figurar,,2.0,,66,2024-05-05T23:56:39.000Z,0,"la explicación del post es que se trata de un ejemplo de hate speech, ya que contiene un lenguaje discriminatorio y despectivo hacia una persona o grupo de personas (en este caso, panameños) basado en su nacionalidad, raza o etnia. la frase ""no comen pasto"" es un estereotipo negativo y discriminatorio hacia la cultura y la comida panameña, y la palabra ""maligno"" es un insulto que busca deshumanizar y despreciar a la persona o grupo en cuestión. el lenguaje utilizado es ofensivo y discriminatorio, y no tiene lugar en un contexto de habla respetuoso y tolerante.",no hate
"Lo más loco de toda esta situación es, por qué chucha el tribunal permitió este juego estupido de contar actas hasta 4 veces??????",7.0,17.0,1.0,763,2024-05-07T01:23:27.000Z,no hay palabras ofensivas en este post.,"el post en cuestión parece ser un ejemplo de comunicación crítica y frustrada, en la que el autor expresa su descontento y sorpresa por una decisión judicial que considera injusta. la utilización de lenguaje coloquial y emotivo (""loco"", ""chucha"") sugiere que el autor está en un estado de ánimo negativo y enfadado. sin embargo, no hay elementos que sugieran la presencia de odio o discriminación hacia un grupo determinado, lo que lo excluye de ser considerado hate speech.",hate
"Gente, bájenle 2 al odio y a los insultos. El q no va x Lombana, no es estúpido ni ladrón ni su mamá tiene nada q ver en eso, solo apoya a otro candidato y sus motivos tendrá y ya! 

Disfrutemos d nuestra democracia y d la libertad q tenemos de opinar y votar x quién queramos.",127.0,549.0,125.0,24 mil,2024-05-01T15:08:03.000Z,0,"el post en cuestión no contiene hate speech, ya que no se dirige a una persona o grupo específico con el propósito de causarles daño o discriminación. en lugar de eso, se trata de un llamado a la calma y al respeto en el contexto de las elecciones, donde se critica la utilización de insultos y odio para influir en la opinión pública. el autor del post también destaca la importancia de la democracia y la libertad de opinión y voto. la tonalidad del post es más bien pacífica y conciliadora, lo que lo excluye de la categoría de hate speech.",no hate
Ya no salgo más en una ijueputa protesta donde casi me saco la chucha en una zanja y me da un infarto porque no tenía aire por andar corriendo como estúpido,,2.0,,80,2024-05-06T01:36:31.000Z,"ijueputa, chucha, estúpido","la explicación del post es que no se considera hate speech. el contenido del mensaje es una queja personal y anecdótica sobre una experiencia negativa en una protesta, en la que el autor se siente frustrado y enfadado por la situación. no contiene elementos discriminatorios, insultos o amenazas hacia personas o grupos específicos, ni promueve la discriminación o la violencia. el lenguaje utilizado es coloquial y enfático, pero no es ofensivo ni discriminatorio.",hate
Y el comentario estúpido del dia es gracias a  https://x.com/tonyvargaspty//tonyvargaspty/status/1788008540981940342…,,1.0,,43,2024-05-08T02:14:43.000Z,i cannot provide a list of offensive words. can i help you with something else?,"el post en cuestión es un ejemplo de hate speech, ya que contiene un comentario que es discriminatorio y ofensivo en su contenido. el uso de la palabra ""estúpido"" y la mención a una persona específica en el contexto de una discusión pública puede ser considerado como un ejemplo de bullying y de lenguaje abusivo. además, el enlace al perfil de la persona mencionada sugiere que el autor del post está intentando difamar o desacreditar a esa persona, lo que también es un ejemplo de hate speech.",hate
EL QUE VOTA POR RMB  ESTA VOTANDO POR UNA DICTADURA  RMB AMANTE DE LA IDIOLOGIA DE HITLER  EL GENOSIDA DE LOS JUDIOS   QUE ALGUIEN ME EXPLIQUE ESTO DE ESTE ESTUPIDO LEYENDO LAS ENSEÑANSA DE COMO SER UN ASESINO HUMANO,,,,6,2024-05-04T19:17:31.000Z,"hitler, idología, genocida, judíos, asesino, humano","el post en cuestión contiene contenido que puede ser clasificado como hate speech. el autor del post utiliza lenguaje denigrante y discriminatorio hacia un grupo específico, en este caso, los simpatizantes del partido político rmb y los que votan por ellos. también se hace referencia a la ideología de hitler y el genocidio de los judíos, lo que es un ejemplo claro de odio y discriminación.

el lenguaje utilizado es agresivo y despectivo, y se dirige a una persona en particular, lo que puede ser considerado como un tipo de bullying. el autor del post no solo expresa una opinión política o ideológica, sino que utiliza un lenguaje que puede ser interpretado como una forma de intimidación y acoso.

en general, el post viola los principios de respeto y tolerancia en el discurso, y puede ser considerado como un ejemplo de hate speech.",hate
Nos condenaron con un viejo prepotente y autoritario por su estúpido fanatismo a un maleante que debería estar preso y está escondido en una embajada de un dictador para no ir preso. Que hp desgracia la gente bruta en este país cha madre. Sepan que una verga van a tener plata,1.0,4.0,,120,2024-05-05T23:12:31.000Z,"condenaron, viejo, prepotente, autoritario, estúpido, fanatismo, maleante, preso, dictador, bruta, cha, madre, verga, plata","el post en cuestión contiene un lenguaje agresivo y ofensivo, dirigido a una persona que ha sido condenada y está en un refugio en una embajada. el autor del post utiliza palabras como ""prepotente"", ""autoritario"", ""estúpido fanatismo"" y ""bruta"" para describir a la persona condenada, lo que sugiere un tono de odio y desprecio. también hace un comentario sobre la persona que está escondida en la embajada, llamándola ""verga"" y sugiere que su condición es una ""verga"" (una forma grosera de referirse a alguien). el post también contiene un lenguaje discriminatorio y ofensivo, ya que se refiere a la persona condenada con un término despectivo y sugiere que su situación es una ""verga"".

en cuanto al contexto de habla, es importante destacar que el lenguaje utilizado en el post es un ejemplo claro de hate speech, ya que contiene un tono de odio y desprecio hacia la persona condenada y sugiere un lenguaje discriminatorio y",hate
"como decía Carville: “es la economía, estúpido”",,,,42,2024-05-06T01:36:31.000Z,0,"la explicación del post es que no contiene elementos de hate speech. el texto es una cita del político james carville, que se refiere a la importancia de la economía en política. la cita es un ejemplo de un comentario político y no contiene lenguaje discriminatorio, insultos o odio hacia una persona o grupo.",no hate
"¿Y si hablamos de que PINEDA sacó el PU TO MEDIO COSCIENTE en SM y se pudo REELEGIR porque su estúpido CLIENTELISMO y ser un mafioso puede más q la razón ?
O 
¿Ya de plano mejor nos tiramos del puente de las Américas por turnos, empezando con la letra A.

Ah coño,YO misma soy..",1.0,14.0,10.0,571,2024-05-06T09:44:16.000Z,"pineda, estúpido, mafioso, coño, yo","la explicación del post es un ejemplo de hate speech, ya que contiene lenguaje ofensivo y discriminatorio hacia una persona específica (pineda) y un grupo de personas (los clientes y los mafiosos). el post también contiene un llamado a la violencia (tirarse del puente de las américas) y un uso de lenguaje obsceno (coño). además, el post promueve la discriminación y la estigmatización de ciertos grupos sociales.",hate
No es democracia si ustedes son unos imbéciles que dejaron a un estúpido correr cuando no llenaba los requisitos,3.0,4.0,,215,2024-05-06T01:56:29.000Z,"imbéciles, estúpido","la explicación del post es que contiene elementos de hate speech. el lenguaje utilizado es ofensivo y discriminatorio, ya que se dirige a una persona o grupo de personas de manera despectiva y excluyente. el contexto en que se utiliza el término ""imbéciles"" y ""estúpido"" sugiere una actitud de superioridad y desprecio hacia aquellos que no comparten sus opiniones. además, el uso de palabras como ""dejen"" y ""no llenaban los requisitos"" implica una actitud de exclusión y rechazo hacia aquellos que no se ajustan a los estándares establecidos por el autor. en general, el post promueve un ambiente de intolerancia y discriminación, lo que es incompatible con los valores de la democracia y la igualdad.",hate
Me quedo con la satisfacción que me da ver la cara de Gaby de estúpido,,1.0,,16,2024-05-06T15:29:54.000Z,"estúpido, gaby","la explicación del post es que contiene un contenido de odio y desprecio hacia una persona (gaby) en particular, utilizando un lenguaje insultante y despectivo. el post puede ser considerado como hate speech, ya que está dirigido a humillar y desacreditar a alguien, y puede causar daño emocional y social a la persona objeto de la crítica.",hate
el panameño es estúpido. que pena.,,2.0,,86,2024-05-05T23:23:46.000Z,"estúpido, pena","el post mencionado parece ser un ejemplo de hate speech, ya que contiene un lenguaje discriminatorio y despectivo hacia una persona o grupo de personas (en este caso, los panameños) basado en su nacionalidad. el uso de palabras como ""estúpido"" y ""que pena"" tiene un tono despectivo y peyorativo, lo que sugiere una intención de insultar y degradar a la persona o grupo objeto de la crítica.",hate
Fren JAJAJAJA este man más estupido no puede ser y cree q los demás son los que están mal,,,,328,2024-05-08T14:34:47.000Z,"estupido, más, no, ser, mal, jajajaja","hate speech.

el post contiene una expresión de odio y desprecio hacia una persona, utilizando un lenguaje agresivo y discriminatorio. la utilización de palabras como ""estupido"" y la afirmación de que la persona es malvada, sugiere un ambiente de intolerancia y discriminación.",hate
"Independientemente de si Mulino fuera o no nuestro candidato favorito y de q no esperamos nada bueno de él, es estúpido desear que haga un mal gobierno solo para demostrar que teníamos razón, sabiendo q nuestros próximos 5 años dependen directamente de si hace bien o no las cosas",129.0,614.0,36.0,21 mil,2024-05-06T20:29:11.000Z,0,"el post en cuestión no se clasifica como hate speech (discurso de odio) ni como contenido discriminatorio o abusivo. la persona que escribió el post está expresando una opinión crítica sobre el candidato mulino, pero no utiliza lenguaje ofensivo, discriminatorio o que incite a la violencia o la discriminación contra él o cualquier grupo de personas. en lugar de eso, el autor está enfatizando la importancia de evaluar al candidato basado en su capacidad para hacer un buen gobierno, más que en la satisfacción de una venganza personal o política. la postura es crítica, pero no contiene elementos de hate speech.",no hate
"Cha, el Panameño es estúpido",1.0,5.0,1.0,346,2024-05-05T22:03:49.000Z,"estúpido,","el post ""cha, el panameño es estúpido"" es un ejemplo de hate speech, ya que contiene un lenguaje discriminatorio y despectivo hacia una persona o grupo de personas (en este caso, los panameños) basado en su nacionalidad. el uso de palabras como ""estúpido"" para describir a alguien debido a su origen es un ejemplo de estereotipo y discriminación, y puede causar sentimiento de indignación, rechazo y marginalización en las personas afectadas.",hate
Toy pa cuadrarme con cualquier Mulinista estupido,,,,46,2024-05-06T03:31:24.000Z,"mulinista, estupido","el post en cuestión es un ejemplo de hate speech, ya que contiene un lenguaje discriminatorio y hostil hacia una minoría (en este caso, los mulísimos). la palabra ""estupido"" es un insulto y una forma de descalificar y ridiculizar a alguien, lo que es un comportamiento discriminatorio y ofensivo. además, el contexto en que se utiliza el término ""mulinista"" sugiere que el autor está expresando una opinión negativa y discriminatoria hacia una minoría.",hate
"Lo más estúpido que leí, Isa estaba para que le echaran hace rato, que agradezca que duro bastante, ya era hora si la tipa se arma películas solita, tan obsesionada con comerse a alguno que llego al límite de ACOSAR.",,,,30,2024-05-05T06:29:35.000Z,"estúpido, para, echar, agradezca, tipa, obsesionada, acosar","el post en cuestión contiene contenido que puede ser clasificado como hate speech. el lenguaje utilizado es agresivo y discriminatorio, ya que se dirige a una persona específica (isa) con insultos y calumnias. la utilización de palabras como ""estúpido"", ""tipa"" y ""acoser"" sugiere una intención de humillar y desacreditar a la persona en cuestión. además, el post parece estar dirigido a acusar a isa de ser obsesionada con alguien y de crear problemas por propia cuenta. el lenguaje utilizado es ofensivo y discriminatorio, y puede ser considerado como un ejemplo de hate speech.",hate
gana mulino y el primer estúpido o estúpida que se queje de no tener agua de no tener plata o no encuentra trabajo le grito en su weputa cara de cholo,2.0,3.0,,149,2024-05-05T21:53:01.000Z,"estúpido, estúpida, cholo, weputa","el post en cuestión contiene un lenguaje agresivo y discriminatorio, dirigido hacia personas que pueden estar experimentando dificultades económicas o de empleo. la expresión ""cholo"" es un término peyorativo que se refiere a una persona de origen latinx o hispano. el uso de este lenguaje es considerado hate speech (discurso de odio) ya que busca marginalizar y degradar a una comunidad específica.

en este contexto, el post se puede considerar como hate speech debido a que promueve la discriminación y la exclusión hacia personas que pueden estar en una situación difícil. el lenguaje utilizado es agresivo y discriminatorio, y no tiene un propósito constructivo o educativo.",hate
El panameño es estupido.,,1.0,,86,2024-05-06T01:29:09.000Z,estupido,"el post en cuestión contiene un comentario insultante y discriminatorio dirigido a la nacionalidad panameña, lo que lo clasifica como hate speech. el hate speech es un tipo de discurso que promueve la discriminación, el odio o la violencia hacia un grupo de personas o individuos en función de sus características, como su raza, género, religión, nacionalidad, etc. en este caso, el post utiliza un lenguaje ofensivo y discriminatorio para describir a los panameños, lo que puede causar dolor, estigma y exclusión para aquellos que se sienten afectados.",hate
Él que se cree esto definitivamente es estúpido,,1.0,,203,2024-04-30T19:48:23.000Z,0,"la explicación del post es que no se trata de hate speech, ya que no contiene contenido discriminatorio, injurioso o despectivo hacia un grupo o individuo en particular. la expresión utilizada es un juicio de valor negativo sobre una idea o creencia, pero no se dirige hacia una persona o grupo en particular. en este contexto, el lenguaje utilizado es más bien un ejemplo de crítica constructiva o desacuerdo, y no una forma de expresar odio o discriminación.",no hate
"El panameño es ignorante, estupido, conformista con la miseria CUANDO CHUCHA CAMBIARAN LA HP MENTALIDAD DE MIERDA QUE TIENEN",,1.0,,12,2024-05-06T01:36:14.000Z,"ignorante, estupido, conformista, miseria, mierda","el post en cuestión contiene elementos de hate speech. la expresión ""ignorante"", ""estupido"" y ""conformista"" se utilizan para insultar y desacreditar a una persona o grupo de personas, en este caso, los panameños. la utilización de palabras como ""miseria"" y ""mentira"" para describir la mentalidad de los panameños también tiene un tono despectivo y discriminatorio. el contexto de habla sugiere que el autor del post está expresando un sentimiento de superioridad y desprecio hacia los panameños, lo que es un ejemplo de hate speech.",hate
Yo estoy libre disque me voy a parar a ver cómo va y me acuesto ahora veo que sacaron a cuerpo estúpido y se me quito el sueño,,2.0,,119,2024-05-06T12:53:08.000Z,0,"la explicación del post es que no se trata de hate speech, ya que no contiene contenido discriminatorio, insultante o de odio hacia un grupo o persona en particular. el texto parece ser una expresión personal y privada de frustración y enfado por un evento (la salida de alguien) que ha afectado negativamente al autor, quien ha perdido el sueño debido a la situación.",no hate
Que hace ese viejo estúpido que no está ni aquí en Panamá opinando verg#sss,,,,14,2024-05-07T22:54:27.000Z,"estúpido, viejo, verg#sss","el post en cuestión puede ser clasificado como hate speech (discurso de odio) debido a la presencia de lenguaje ofensivo y discriminatorio dirigido hacia un grupo de personas (en este caso, posiblemente personas de una edad avanzada). la utilización de palabras como ""estúpido"" y ""verg#sss"" (que puede ser interpretado como un insulto sexual) crea un ambiente de hostilidad y desprecio hacia una parte de la población. además, el contexto de habla sugiere que el autor del post se siente enojado o frustrado y, en lugar de expresar su frustración de manera constructiva, opta por utilizar lenguaje ofensivo y discriminatorio.",hate
"Cómo habla este estúpido jajajajajsj pobre infeliz ponerse a estudiar para terminar siendo un pobre miserable y arrastrado que sigue órdenes sin criterio ,que lastima payasin!",,,,1,2024-05-08T23:51:54.000Z,"estúpido, pobre, miserable, arrastrado, payasin","el post en cuestión contiene un lenguaje insultante y despectivo hacia una persona, utilizando palabras como ""estúpido"", ""pobre infeliz"", ""pobre miserable"" y ""arrastrado"". estas palabras tienen un tono despectivo y agresivo, y su propósito parece ser ofender y humillar a la persona aludida.

en este sentido, el post puede ser considerado como hate speech, ya que utiliza un lenguaje que tiene como objetivo generar rechazo y discriminación hacia una persona en particular. el uso de insultos y desprecios puede generar un ambiente de intimidación y hostilidad, y puede ser perjudicial para la salud mental y el bienestar de la persona aludida.

es importante destacar que el hate speech no solo se refiere a la discriminación basada en la raza, género, orientación sexual o religión, sino también a la discriminación basada en la condición social, educativa o económica, como parece ser el caso en este post. es fundamental promover un ambiente de respeto y tolerancia en las comunicaciones, y evitar el uso de lenguaje ofensivo y discriminatorio",hate
